Location,Num
Abandoned/condemned structure,11
Air/bus/train terminal,113
Amusement park,5
Arena/stadium/fairgrounds/coliseum,9
Auto dealership new/used,6
Bank/savings and loan,21
Bar/nightclub,124
Camp/campground,8
Church/synagogue/temple/mosque,322
Commercial office building,161
Community center,21
Construction site,23
Convenience store,127
Cyberspace,36
Daycare facility,4
Department/discount store,101
Dock/wharf/freight/modal terminal,2
Drug store/doctor's office/hospital,94
Farm facility,3
Field/woods,61
Gambling facility/casino/race track,2
Government/public building,132
Grocery/supermarket,99
Highway/road/alley/street/sidewalk,"1,329"
Hotel/motel/etc.,55
Industrial site,18
Jail/prison/penitentiary/corrections facility,90
Lake/waterway/beach,16
Liquor store,26
Park/playground,196
Parking/drop lot/garage,341
Rental storage facility,14
Residence/home,"1,800"
Rest area,4
Restaurant,214
School/college2,50
School—college/university,195
School—elementary/secondary,458
Service/gas station,76
Shelter—mission/homeless,32
Shopping mall,17
"Specialty store (TV, fur, etc.)",63
Tribal Lands,1
Other/unknown,822
Multiple locations,12